ClaimID,PolicyID,CoverageType,Peril,ClaimDate,ClaimAmount,ApprovedAmount,FraudScore,ClaimStatus,ForcedEntryFlag,ProofOfOwnershipFlag,CoverageType_Policy,DriverType,DriverAge,LicenseValid,UsageType,PremiumAmount,FraudRiskScore,IncidentDriverAge,IncidentDriverLicenseYears,IncidentDriverListedFlag,DriverEligibilityFlag,AdditionalExcessFlag,AdditionalExcessAmount,DriverEligibilityReason,PayoutRatio
23,329,Motor,Accidental Damage,4/22/2024,86291,86291,21,Approved,N,N,Building,,,,,1354.26,38,63,1,Y,Y,N,0,Driver meets policy requirements,1
24,326,All Risk,Theft,10/4/2023,26320,26320,35,Approved,N,Y,Motor,Named Driver,43,N,Private,1822.61,57,,,,,,,,1
25,1732,Contents,Water Damage,11/20/2025,44981,44981,35,Approved,Y,Y,Motor,Open Driver,34,Y,Business,551.4,53,,,,,,,,1
26,1782,Building,Water Damage,2/8/2023,52497,52497,31,Approved,Y,Y,Motor,Named Driver,53,Y,Private,2348.58,17,,,,,,,,1
27,1124,Building,Storm,12/17/2024,92143,47532,83,Repudiated,Y,N,Motor,Named Driver,61,N,Private,925.92,18,,,,,,,,0.5159
28,988,Building,Flood,8/9/2024,16691,16691,59,Approved,N,Y,Contents,,,,,2176.76,94,,,,,,,,1
29,627,Contents,Burglary,8/23/2023,84952,53463,62,Pending,Y,Y,All Risk,,,,,1789.42,15,,,,,,,,0.6293
30,196,Motor,Theft & Hijacking,12/14/2025,105330,105330,17,Approved,Y,N,All Risk,,,,,1325.53,26,30,1,Y,Y,N,0,Driver meets policy requirements,1
31,1234,Motor,Accidental Damage,9/13/2025,118074,115574,10,Approved with Additional Excess,Y,Y,Motor,Named Driver,25,Y,Private,335.5,85,22,0,Y,Y,Y,2500,Eligible claim with additional excess: driver under 25 and licence held less than 2 years,0.9788
32,624,Building,Malicious Damage,10/26/2024,62860,18863,79,Repudiated,Y,Y,Contents,,,,,931.33,17,,,,,,,,0.3001
33,1837,Contents,Water Damage,4/12/2025,65349,45123,71,Pending,N,N,Motor,Named Driver,60,Y,Private,289.23,78,,,,,,,,0.6905
34,1902,Building,Storm,1/29/2024,107317,8878,86,Repudiated,N,N,Building,,,,,826.3,5,,,,,,,,0.0827
35,1476,Contents,Fire,4/17/2023,91834,91834,31,Approved,N,Y,Building,,,,,2494.99,37,,,,,,,,1
36,1775,Contents,Fire,11/25/2024,85823,85823,36,Approved,N,Y,Motor,Named Driver,29,Y,Private,827.36,34,,,,,,,,1
37,1379,Motor,Fire & Explosion,9/8/2025,54656,54656,25,Approved,Y,Y,Contents,,,,,1647.74,28,25,6,Y,Y,N,0,Driver meets policy requirements,1
38,1756,Building,Water Damage,12/18/2025,106872,41751,89,Repudiated,N,Y,Motor,Named Driver,41,Y,Business,1723.68,27,,,,,,,,0.3907
39,1005,Contents,Water Damage,3/30/2025,144085,13419,69,Pending,N,Y,All Risk,,,,,1086.82,10,,,,,,,,0.0931
40,1474,Motor,Accidental Damage,6/26/2025,110973,110973,10,Approved,N,N,Contents,,,,,538.21,70,21,3,Y,Y,N,0,Driver meets policy requirements,1
41,115,All Risk,Travel Risk,3/30/2025,68146,16801,71,Repudiated,N,N,Motor,Open Driver,73,N,Private,1883.3,58,,,,,,,,0.2465
42,1011,Contents,Burglary,9/28/2025,32859,32859,14,Approved,Y,N,Building,,,,,1561.43,7,,,,,,,,1
43,739,All Risk,Accidental Loss,7/18/2024,53226,30060,85,Repudiated,N,N,Contents,,,,,500.41,25,,,,,,,,0.5648
44,1365,Motor,Theft & Hijacking,9/3/2024,50475,50475,59,Approved,N,Y,All Risk,,,,,1607.33,35,30,0,Y,Y,N,0,Driver meets policy requirements,1
45,1276,Building,Fire,6/21/2023,17412,17412,54,Approved,N,Y,Motor,Open Driver,51,N,Business,956.5,27,,,,,,,,1
46,1637,Contents,Accidental Damage,5/29/2023,14551,12554,70,Pending,N,N,All Risk,,,,,520.76,70,,,,,,,,0.8628
47,279,Motor,Accidental Damage,10/16/2024,90263,20708,74,Repudiated,N,N,Contents,,,,,1473.72,67,43,5,Y,Y,N,0,Driver meets policy requirements,0.2294
48,1530,Contents,Malicious Damage,9/24/2023,97343,97343,17,Approved,Y,Y,Building,,,,,813.26,59,,,,,,,,1
49,1286,Contents,Malicious Damage,12/22/2023,76634,60907,92,Repudiated,Y,Y,All Risk,,,,,454.87,84,,,,,,,,0.7948
50,863,Contents,Accidental Damage,1/30/2023,39807,39807,16,Approved,Y,Y,Building,,,,,1265.38,43,,,,,,,,1
51,1166,All Risk,Fire,8/6/2024,110382,110382,45,Approved,N,Y,Contents,,,,,251.61,95,,,,,,,,1
52,601,Contents,Fire,4/5/2023,15695,4579,93,Repudiated,N,N,Contents,,,,,777.21,67,,,,,,,,0.2917
53,131,Motor,Fire & Explosion,4/19/2024,86944,53011,89,Repudiated,N,N,Contents,,,,,2079.22,85,40,17,Y,Y,N,0,Driver meets policy requirements,0.6097
54,845,Contents,Fire,1/31/2024,128201,94701,89,Repudiated,N,Y,Contents,,,,,478.64,46,,,,,,,,0.7387
55,653,Building,Water Damage,6/21/2025,29907,12361,73,Pending,Y,Y,Contents,,,,,1132.28,55,,,,,,,,0.4133
56,1738,Building,Water Damage,7/30/2023,143062,143062,10,Approved,Y,Y,Building,,,,,1291.44,41,,,,,,,,1
57,459,All Risk,Fire,2/21/2023,18912,18912,22,Approved,N,N,Building,,,,,2059.46,60,,,,,,,,1
58,1750,Contents,Burglary,10/22/2023,26501,26501,40,Approved,Y,N,Motor,Open Driver,50,N,Private,779.3,59,,,,,,,,1
59,1458,Building,Flood,12/18/2025,102257,102257,18,Approved,Y,N,Contents,,,,,2158.61,25,,,,,,,,1
60,59,Motor,Fire & Explosion,6/29/2024,101091,101091,37,Approved,Y,Y,Building,,,,,1381,63,45,18,Y,Y,N,0,Driver meets policy requirements,1
61,851,Contents,Malicious Damage,6/12/2024,139827,139827,16,Approved,Y,Y,All Risk,,,,,429.38,70,,,,,,,,1
62,1059,Contents,Accidental Damage,12/31/2023,12023,12023,32,Approved,N,N,Contents,,,,,2178.13,60,,,,,,,,1
63,9,Contents,Burglary,9/11/2025,105398,94964,64,Pending,Y,Y,Contents,,,,,2162.93,75,,,,,,,,0.901
64,99,All Risk,Fire,3/13/2024,145604,112280,71,Repudiated,N,N,Building,,,,,2475.48,27,,,,,,,,0.7711
65,1862,All Risk,Accidental Loss,3/2/2025,13365,13365,44,Approved,N,Y,Motor,Named Driver,51,N,Business,1580.8,34,,,,,,,,1
66,664,All Risk,Accidental Loss,10/24/2024,60986,38629,94,Repudiated,Y,N,Contents,,,,,2256.93,28,,,,,,,,0.6334
67,281,Motor,Fire & Explosion,6/10/2024,5691,5691,35,Approved,Y,N,Contents,,,,,1207.82,31,28,1,Y,Y,N,0,Driver meets policy requirements,1
68,1579,Contents,Malicious Damage,11/11/2024,121301,121301,42,Approved,Y,N,Motor,Named Driver,32,Y,Business,2344.68,25,,,,,,,,1
69,1848,Building,Flood,7/1/2025,119196,119196,36,Approved,Y,N,Contents,,,,,1167.48,30,,,,,,,,1
70,504,Motor,Fire & Explosion,6/14/2023,123877,58911,78,Pending,N,N,Contents,,,,,371.93,85,53,22,Y,Y,N,0,Driver meets policy requirements,0.4756
71,1762,Contents,Malicious Damage,3/28/2023,77972,77972,38,Approved,N,Y,Building,,,,,2489.52,60,,,,,,,,1
72,1561,All Risk,Theft,2/25/2023,86140,75240,78,Pending,Y,Y,All Risk,,,,,1997.61,83,,,,,,,,0.8735
73,1217,Building,Fire,9/29/2024,144868,144868,55,Approved,Y,Y,All Risk,,,,,1415.11,16,,,,,,,,1
74,848,Contents,Fire,6/21/2023,141148,141148,32,Approved,N,Y,All Risk,,,,,350.52,57,,,,,,,,1
75,651,Contents,Water Damage,11/29/2023,60614,45487,65,Pending,Y,N,Contents,,,,,1537.17,53,,,,,,,,0.7504
76,1668,Building,Fire,2/10/2025,133310,133310,46,Approved,Y,N,Motor,Open Driver,35,N,Private,1778.93,19,,,,,,,,1
77,879,Building,Storm,1/28/2025,92307,92307,45,Approved,Y,Y,Contents,,,,,1568.17,33,,,,,,,,1
78,735,Contents,Water Damage,3/12/2024,8699,8699,38,Approved,Y,N,Building,,,,,2387.16,7,,,,,,,,1
79,700,All Risk,Accidental Loss,12/15/2024,142085,77215,81,Repudiated,N,Y,Contents,,,,,1821.03,87,,,,,,,,0.5434
80,1097,Motor,Glass Damage,6/27/2025,87228,0,73,Repudiated,Y,Y,Motor,Open Driver,30,N,Business,1051.22,91,25,1,Y,N,N,0,Invalid driver licence,0
81,885,All Risk,Fire,10/31/2023,33302,19928,89,Repudiated,Y,Y,Contents,,,,,1265.17,17,,,,,,,,0.5984
82,816,Building,Malicious Damage,6/19/2023,64055,36674,78,Repudiated,N,N,Motor,Open Driver,54,Y,Business,1725.7,61,,,,,,,,0.5725
83,997,Contents,Accidental Damage,8/2/2023,148294,99532,66,Pending,Y,N,Contents,,,,,798.59,47,,,,,,,,0.6712
84,1485,Building,Water Damage,11/19/2025,70386,70386,26,Approved,N,Y,Contents,,,,,1024.65,7,,,,,,,,1
85,765,Building,Flood,3/25/2024,117821,117821,20,Approved,Y,Y,All Risk,,,,,751.9,71,,,,,,,,1
86,1794,Contents,Malicious Damage,1/1/2025,139258,41289,82,Repudiated,N,Y,Motor,Named Driver,65,N,Private,2179.63,46,,,,,,,,0.2965
87,167,Motor,Glass Damage,7/24/2024,25210,2259,61,Pending,Y,N,All Risk,,,,,1722.88,81,24,3,Y,Y,N,0,Driver meets policy requirements,0.0896
88,456,Motor,Glass Damage,7/4/2025,147740,112132,69,Repudiated,Y,Y,Motor,Named Driver,28,Y,Business,378.27,87,23,2,Y,Y,N,0,Driver meets policy requirements,0.759
89,615,Motor,Theft & Hijacking,8/23/2024,137810,137810,49,Approved,Y,Y,Building,,,,,1410.61,7,49,26,Y,Y,N,0,Driver meets policy requirements,1
90,2000,Building,Malicious Damage,12/12/2024,44673,44673,40,Approved,Y,Y,All Risk,,,,,1513,42,,,,,,,,1
91,298,All Risk,Accidental Loss,6/11/2025,40995,40995,27,Approved,Y,Y,Building,,,,,353.37,38,,,,,,,,1
92,1337,All Risk,Fire,5/20/2025,43962,40740,66,Repudiated,N,N,Building,,,,,395.37,14,,,,,,,,0.9267
93,1401,Building,Fire,4/1/2025,7931,4958,78,Pending,Y,Y,All Risk,,,,,883.12,25,,,,,,,,0.6251
94,1570,Contents,Water Damage,11/17/2024,95129,95129,24,Approved,Y,Y,Contents,,,,,2132.19,53,,,,,,,,1
95,1527,Contents,Malicious Damage,5/21/2023,62869,61725,82,Repudiated,Y,Y,Building,,,,,1387.8,39,,,,,,,,0.9818
96,1008,Building,Fire,4/9/2024,147111,13355,89,Repudiated,N,Y,All Risk,,,,,2381.21,69,,,,,,,,0.0908
97,43,Building,Fire,7/24/2023,100505,58926,79,Pending,Y,N,Contents,,,,,564.81,39,,,,,,,,0.5863
98,1859,All Risk,Fire,10/22/2023,3645,755,78,Pending,N,Y,All Risk,,,,,1404.46,75,,,,,,,,0.2071
99,1620,Contents,Fire,6/10/2024,52325,52325,20,Approved,N,Y,Motor,Open Driver,18,N,Business,856.52,82,,,,,,,,1
100,422,Contents,Accidental Damage,7/28/2023,9508,1792,92,Repudiated,N,N,Building,,,,,848.14,21,,,,,,,,0.1885
101,477,All Risk,Travel Risk,12/11/2024,75181,75181,52,Approved,Y,Y,Contents,,,,,1681.4,84,,,,,,,,1
102,335,Motor,Theft & Hijacking,11/17/2025,124133,121796,92,Repudiated,N,Y,All Risk,,,,,809.85,41,40,0,Y,Y,N,0,Driver meets policy requirements,0.9812
103,1086,Contents,Fire,11/17/2024,98627,98627,28,Approved,N,Y,Contents,,,,,974.9,70,,,,,,,,1
104,796,All Risk,Travel Risk,6/25/2024,34930,34930,41,Approved,Y,N,Building,,,,,798.88,71,,,,,,,,1
105,816,Contents,Water Damage,8/16/2023,53584,5663,94,Repudiated,Y,N,Motor,Open Driver,54,Y,Business,1725.7,61,,,,,,,,0.1057
106,250,Motor,Weather,2/14/2024,26457,12428,71,Repudiated,N,Y,All Risk,,,,,614.73,61,20,2,Y,Y,N,0,Driver meets policy requirements,0.4697
107,1033,All Risk,Travel Risk,6/18/2025,39814,864,94,Repudiated,Y,Y,Motor,Open Driver,73,N,Business,1810.86,19,,,,,,,,0.0217
108,1656,Building,Storm,6/7/2025,106961,106961,47,Approved,Y,Y,Building,,,,,1605.58,77,,,,,,,,1
109,1307,Contents,Burglary,12/27/2025,120900,120900,41,Approved,Y,Y,Contents,,,,,403.58,62,,,,,,,,1
110,1143,Contents,Accidental Damage,9/14/2023,13672,13672,45,Approved,N,Y,Building,,,,,2452.1,48,,,,,,,,1
111,1514,All Risk,Travel Risk,2/18/2023,102764,102764,43,Approved,N,Y,All Risk,,,,,713.14,75,,,,,,,,1
112,1047,All Risk,Theft,8/19/2025,136024,15242,86,Repudiated,N,Y,Motor,Named Driver,61,Y,Private,507.02,40,,,,,,,,0.1121
113,688,Contents,Accidental Damage,5/4/2025,128338,128338,14,Approved,Y,N,All Risk,,,,,825.97,57,,,,,,,,1
114,408,All Risk,Fire,4/25/2024,112941,26613,69,Repudiated,Y,Y,All Risk,,,,,1195.17,83,,,,,,,,0.2356
115,1000,Building,Flood,5/11/2024,133313,31452,71,Repudiated,N,N,Contents,,,,,2032.04,87,,,,,,,,0.2359
116,1329,Motor,Weather,2/6/2024,70186,12609,63,Pending,Y,Y,Building,,,,,579.79,60,24,2,Y,Y,N,0,Driver meets policy requirements,0.1797
117,230,Contents,Water Damage,1/24/2024,132763,132763,45,Approved,Y,Y,Contents,,,,,967.32,40,,,,,,,,1
118,1667,Building,Water Damage,3/5/2024,27906,13961,81,Repudiated,Y,Y,Motor,Open Driver,26,Y,Private,1422.01,32,,,,,,,,0.5003
119,1277,Motor,Fire & Explosion,11/17/2024,98417,0,83,Repudiated,Y,N,Motor,Named Driver,45,N,Private,486.52,26,48,20,Y,N,N,0,Invalid driver licence,0
120,1851,Building,Fire,5/19/2023,16098,3080,86,Repudiated,N,N,Building,,,,,1340.82,19,,,,,,,,0.1913
121,1507,All Risk,Travel Risk,9/1/2024,113560,113560,37,Approved,Y,N,All Risk,,,,,835.54,9,,,,,,,,1
122,1654,Motor,Theft & Hijacking,9/25/2025,77236,31383,77,Repudiated,Y,N,All Risk,,,,,2155.81,21,26,6,Y,Y,N,0,Driver meets policy requirements,0.4063
123,1793,All Risk,Theft,12/9/2024,90902,90902,45,Approved,N,Y,Motor,Open Driver,61,N,Private,2324.53,88,,,,,,,,1
124,196,Motor,Weather,3/15/2023,14962,14962,50,Approved,Y,N,All Risk,,,,,1325.53,26,60,1,Y,Y,N,0,Driver meets policy requirements,1
125,1721,Motor,Weather,11/1/2024,37669,37669,47,Approved,N,N,Contents,,,,,2495.61,85,70,0,Y,Y,N,0,Driver meets policy requirements,1
126,735,Building,Fire,1/23/2023,132512,132512,15,Approved,Y,N,Building,,,,,2387.16,7,,,,,,,,1
127,1567,Contents,Burglary,2/22/2024,61099,61099,39,Approved,Y,Y,Contents,,,,,798.59,80,,,,,,,,1
128,1435,Building,Fire,9/3/2023,36248,36248,10,Approved,N,N,Contents,,,,,2313.56,26,,,,,,,,1
129,762,Building,Fire,8/30/2023,6984,6984,20,Approved,Y,Y,Motor,Named Driver,71,Y,Private,1961.95,7,,,,,,,,1
130,873,Contents,Malicious Damage,10/12/2023,97372,97372,46,Approved,N,N,Building,,,,,1697.34,58,,,,,,,,1
131,150,Building,Fire,8/25/2024,87200,87200,19,Approved,N,Y,Motor,Named Driver,55,Y,Private,1392.97,31,,,,,,,,1
132,504,Building,Flood,12/22/2024,91487,91487,54,Approved,N,N,Contents,,,,,371.93,85,,,,,,,,1
133,1280,Building,Storm,4/6/2025,29739,29739,28,Approved,Y,Y,Building,,,,,1634.83,81,,,,,,,,1
134,1098,Building,Storm,3/5/2025,136732,136732,57,Approved,Y,N,Building,,,,,251.35,65,,,,,,,,1
135,1767,Building,Water Damage,11/9/2025,91051,91051,36,Approved,Y,N,All Risk,,,,,1116.43,41,,,,,,,,1
136,405,All Risk,Fire,2/20/2025,130741,130741,44,Approved,Y,N,Motor,Named Driver,55,Y,Business,678.6,63,,,,,,,,1
137,1449,All Risk,Fire,10/17/2023,62569,28888,76,Repudiated,Y,Y,Building,,,,,2023.3,59,,,,,,,,0.4617
138,199,Contents,Burglary,8/20/2025,113843,20984,84,Repudiated,Y,Y,Motor,Named Driver,63,N,Business,454.54,67,,,,,,,,0.1843
139,1668,Motor,Theft & Hijacking,4/17/2025,52836,0,22,Repudiated,Y,N,Motor,Open Driver,35,N,Private,1778.93,19,36,13,Y,N,N,0,Invalid driver licence,0
140,1486,Contents,Water Damage,6/8/2024,48725,48725,14,Approved,N,Y,All Risk,,,,,2376,82,,,,,,,,1
141,1820,Building,Fire,10/3/2024,79118,52295,72,Repudiated,N,Y,Motor,Named Driver,74,N,Business,2485.14,90,,,,,,,,0.661
142,1176,Motor,Theft & Hijacking,12/23/2025,80291,80291,26,Approved,N,Y,Building,,,,,272.27,70,57,22,Y,Y,N,0,Driver meets policy requirements,1
143,1269,Contents,Fire,11/27/2025,34218,2123,71,Pending,Y,Y,All Risk,,,,,836.02,15,,,,,,,,0.062
144,797,Motor,Theft & Hijacking,12/8/2024,63947,63947,27,Approved,Y,N,Motor,Open Driver,64,Y,Business,1122.26,68,71,18,Y,Y,N,0,Driver meets policy requirements,1
145,1606,Motor,Theft & Hijacking,9/25/2024,25201,12697,80,Repudiated,N,N,All Risk,,,,,1100.3,59,58,2,Y,Y,N,0,Driver meets policy requirements,0.5038
146,429,Building,Malicious Damage,6/21/2025,85644,85644,49,Approved,N,N,Motor,Named Driver,31,N,Private,1406.06,93,,,,,,,,1
147,286,Contents,Water Damage,9/12/2025,126177,120621,65,Pending,Y,N,All Risk,,,,,681.49,51,,,,,,,,0.956
148,896,Contents,Fire,4/15/2025,7471,5476,93,Repudiated,N,N,Motor,Named Driver,44,Y,Business,1340.85,47,,,,,,,,0.733
149,241,All Risk,Fire,8/9/2024,47509,47509,26,Approved,N,N,Contents,,,,,2108.43,60,,,,,,,,1
150,832,Contents,Malicious Damage,5/7/2025,49404,13504,85,Repudiated,Y,N,Contents,,,,,1491.96,45,,,,,,,,0.2733
151,1710,Building,Fire,11/21/2023,21008,3484,81,Repudiated,N,Y,Motor,Open Driver,56,N,Business,2266.8,22,,,,,,,,0.1658
152,1164,Building,Fire,8/10/2024,96035,96035,30,Approved,N,N,Motor,Named Driver,37,N,Business,701.25,15,,,,,,,,1
153,1339,All Risk,Theft,10/10/2025,52600,52600,18,Approved,Y,N,Contents,,,,,2409.95,72,,,,,,,,1
154,1034,Building,Water Damage,12/1/2025,31324,31324,46,Approved,N,Y,All Risk,,,,,1273.26,48,,,,,,,,1
155,188,Contents,Burglary,2/16/2023,79659,79659,44,Approved,Y,N,All Risk,,,,,697.3,84,,,,,,,,1
156,1095,Motor,Accidental Damage,6/17/2025,23366,17317,90,Repudiated,N,Y,All Risk,,,,,1993.01,88,56,0,Y,Y,N,0,Driver meets policy requirements,0.7411
157,1319,Motor,Accidental Damage,2/3/2023,117000,117000,58,Approved,N,Y,Motor,Open Driver,42,Y,Private,2058.25,83,34,2,Y,Y,N,0,Driver meets policy requirements,1
158,1249,Contents,Accidental Damage,5/3/2024,6109,6109,23,Approved,Y,N,Building,,,,,1850.04,16,,,,,,,,1
159,1552,All Risk,Fire,1/19/2025,121696,121696,25,Approved,N,N,Motor,Named Driver,19,N,Business,2190.8,80,,,,,,,,1
160,1460,Building,Storm,3/22/2024,140152,140152,30,Approved,Y,N,Building,,,,,2252.66,89,,,,,,,,1
161,533,Contents,Burglary,11/2/2024,109419,33979,71,Pending,Y,Y,Motor,Open Driver,59,N,Private,2027.89,79,,,,,,,,0.3105
162,451,Contents,Malicious Damage,9/7/2023,34063,34063,46,Approved,N,Y,All Risk,,,,,362.01,86,,,,,,,,1
163,1798,Building,Flood,11/19/2024,9862,9862,52,Approved,Y,Y,Contents,,,,,2240.63,56,,,,,,,,1
164,1496,Contents,Water Damage,7/17/2025,110303,98810,65,Repudiated,Y,N,Motor,Named Driver,59,Y,Private,1694.96,47,,,,,,,,0.8958
165,1946,Contents,Fire,4/19/2025,137087,8816,65,Repudiated,Y,N,Motor,Named Driver,71,N,Private,1366.31,34,,,,,,,,0.0643
166,1155,Contents,Fire,1/6/2023,34653,34653,46,Approved,Y,N,Building,,,,,2391.58,7,,,,,,,,1
167,1450,Building,Water Damage,5/14/2023,107124,107124,18,Approved,N,N,Building,,,,,1384.29,9,,,,,,,,1
168,1177,All Risk,Fire,4/29/2023,132598,132598,21,Approved,N,N,Motor,Named Driver,49,N,Private,2402.51,77,,,,,,,,1
169,16,Contents,Accidental Damage,4/15/2025,61557,32974,87,Repudiated,Y,N,Motor,Named Driver,60,Y,Private,1784.35,18,,,,,,,,0.5357
170,909,All Risk,Travel Risk,10/1/2023,19791,19791,26,Approved,Y,N,Contents,,,,,506.97,29,,,,,,,,1
171,142,Contents,Malicious Damage,2/10/2023,12857,6884,66,Pending,N,N,Motor,Named Driver,58,Y,Business,589.8,26,,,,,,,,0.5354
172,1827,All Risk,Fire,12/4/2025,54793,3081,95,Repudiated,Y,N,Contents,,,,,2091.91,74,,,,,,,,0.0562
173,992,Contents,Burglary,5/15/2023,26422,26422,60,Approved,Y,Y,All Risk,,,,,1268.61,74,,,,,,,,1
174,1909,Building,Malicious Damage,10/21/2023,65827,35370,85,Repudiated,Y,Y,Contents,,,,,943.59,5,,,,,,,,0.5373
175,835,Contents,Burglary,9/12/2025,75034,15681,76,Repudiated,Y,N,Motor,Named Driver,67,Y,Private,570.68,76,,,,,,,,0.209
176,1844,Building,Flood,12/27/2023,92480,92480,23,Approved,Y,Y,Building,,,,,1097.95,37,,,,,,,,1
177,355,Motor,Fire & Explosion,12/5/2023,40473,40473,35,Approved,N,Y,All Risk,,,,,593.9,94,54,16,Y,Y,N,0,Driver meets policy requirements,1
178,467,Motor,Accidental Damage,3/30/2025,38771,16943,85,Repudiated,N,Y,All Risk,,,,,707.78,21,36,9,Y,Y,N,0,Driver meets policy requirements,0.437
179,98,Motor,Fire & Explosion,1/11/2023,53513,0,69,Repudiated,Y,N,Motor,Named Driver,61,Y,Private,1936.86,6,63,22,N,N,N,0,Incident driver not listed on named-driver policy,0
180,346,Contents,Fire,6/26/2023,114050,114050,45,Approved,N,Y,All Risk,,,,,1355.38,88,,,,,,,,1
181,676,Motor,Weather,2/19/2024,109290,109290,37,Approved,Y,Y,All Risk,,,,,1787.87,82,47,2,Y,Y,N,0,Driver meets policy requirements,1
182,1325,Motor,Weather,10/7/2024,71829,71829,17,Approved,Y,N,All Risk,,,,,563.57,11,27,1,Y,Y,N,0,Driver meets policy requirements,1
183,1002,Building,Water Damage,10/11/2024,63554,63554,56,Approved,Y,Y,Building,,,,,2038.73,35,,,,,,,,1
184,1507,Contents,Malicious Damage,3/27/2024,123480,123480,24,Approved,N,Y,All Risk,,,,,835.54,9,,,,,,,,1
185,1595,All Risk,Theft,11/5/2023,38626,38626,26,Approved,N,Y,Motor,Open Driver,70,N,Private,691.72,24,,,,,,,,1
186,1293,Building,Storm,7/20/2024,71296,71296,44,Approved,N,Y,All Risk,,,,,1277.98,28,,,,,,,,1
187,1592,Motor,Accidental Damage,9/29/2023,66377,13092,68,Repudiated,Y,Y,Building,,,,,467.6,15,66,8,Y,Y,N,0,Driver meets policy requirements,0.1972
188,746,Building,Fire,9/2/2023,124718,31250,72,Pending,Y,N,Contents,,,,,696.03,33,,,,,,,,0.2506
189,118,Building,Fire,7/30/2025,86505,86505,38,Approved,N,N,Building,,,,,733.91,86,,,,,,,,1
190,801,All Risk,Travel Risk,5/11/2025,134241,19977,85,Repudiated,Y,N,Motor,Named Driver,51,N,Private,442.17,44,,,,,,,,0.1488
191,534,Contents,Burglary,10/9/2023,43327,43327,30,Approved,Y,N,Motor,Open Driver,44,Y,Private,564.86,71,,,,,,,,1
192,539,Contents,Fire,8/15/2025,42465,38329,66,Repudiated,N,N,All Risk,,,,,1354.14,35,,,,,,,,0.9026
193,1623,All Risk,Accidental Loss,6/22/2024,107153,107153,36,Approved,N,Y,Building,,,,,2429.11,30,,,,,,,,1
